symbol,date,threshold,PPO,SAC,TD3,LST,LS10,LSR,LCl,weights,section
NVDA,2026-07-09,0 (50),0.66(-0.76),-1.00( 0.90),1.00(-1.10),0.0100(-0.0101),0.0104(-0.0105),-1.4920( -5.3080),-0.67( -0.09),"[0, 0, 0, 0, 0, 50, 50]",American stocks
NVDA,2026-07-09,0 (50),0.66(-0.76),-1.00( 0.90),1.00(-1.10),0.0100(-0.0101),0.0104(-0.0105),-1.4920( -5.3080),-0.67( -0.09),"[0, 0, 0, 0, 0, 50, 50]",Technology
PBR,2026-07-09,7 (36),0.04(-0.14),-1.00(-0.00),-0.85(-0.05),0.0042(-0.0076),0.0094(-0.0143),-1.7439( -2.4561),-0.49(  0.04),"[0, 0, 13, 19, 25, 36, 7]",All Stocks
PBR,2026-07-09,7 (36),0.04(-0.14),-1.00(-0.00),-0.85(-0.05),0.0042(-0.0076),0.0094(-0.0143),-1.7439( -2.4561),-0.49(  0.04),"[0, 0, 13, 19, 25, 36, 7]",Brazilian biggest stocks
PBR,2026-07-09,7 (36),0.04(-0.14),-1.00(-0.00),-0.85(-0.05),0.0042(-0.0076),0.0094(-0.0143),-1.7439( -2.4561),-0.49(  0.04),"[0, 0, 13, 19, 25, 36, 7]",ADRs
PBR-A,2026-07-09,0 (36),0.15(-0.25),-0.97(-0.02),1.00(-1.10),0.0064(-0.0111),0.0185(-0.0186),-0.4359( -4.5641),-0.30( -0.50),"[0, 11, 0, 20, 0, 36, 33]",All Stocks
PBR-A,2026-07-09,0 (36),0.15(-0.25),-0.97(-0.02),1.00(-1.10),0.0064(-0.0111),0.0185(-0.0186),-0.4359( -4.5641),-0.30( -0.50),"[0, 11, 0, 20, 0, 36, 33]",Brazilian biggest stocks
PBR-A,2026-07-09,0 (36),0.15(-0.25),-0.97(-0.02),1.00(-1.10),0.0064(-0.0111),0.0185(-0.0186),-0.4359( -4.5641),-0.30( -0.50),"[0, 11, 0, 20, 0, 36, 33]",ADRs
PETR3,2026-07-09,66 (66),0.47(-0.57),-0.98( 0.02),0.04(-0.87),0.0027(-0.0054),0.0026(-0.0047),0.2616( -5.8616),-0.14( -0.13),"[0, 66, 0, 14, 0, 15, 5]",All Stocks
PETR3,2026-07-09,66 (66),0.47(-0.57),-0.98( 0.02),0.04(-0.87),0.0027(-0.0054),0.0026(-0.0047),0.2616( -5.8616),-0.14( -0.13),"[0, 66, 0, 14, 0, 15, 5]",Stocks to sell
PETR3,2026-07-09,66 (66),0.47(-0.57),-0.98( 0.02),0.04(-0.87),0.0027(-0.0054),0.0026(-0.0047),0.2616( -5.8616),-0.14( -0.13),"[0, 66, 0, 14, 0, 15, 5]",Brazilian biggest stocks
PETR4,2026-07-09,58 (58),0.79(-0.89),0.91(-1.01),1.00(-1.10),0.0020(-0.0046),0.0091(-0.0231),0.4296( -1.8296),-0.40(  0.02),"[0, 0, 0, 0, 28, 14, 58]",All Stocks
PETR4,2026-07-09,58 (58),0.79(-0.89),0.91(-1.01),1.00(-1.10),0.0020(-0.0046),0.0091(-0.0231),0.4296( -1.8296),-0.40(  0.02),"[0, 0, 0, 0, 28, 14, 58]",Stocks to sell
PETR4,2026-07-09,58 (58),0.79(-0.89),0.91(-1.01),1.00(-1.10),0.0020(-0.0046),0.0091(-0.0231),0.4296( -1.8296),-0.40(  0.02),"[0, 0, 0, 0, 28, 14, 58]",Brazilian biggest stocks
PM,2026-07-09,0 (67),0.18(-0.45),-0.01(-0.09),1.00(-1.98),0.0075(-0.0131),0.0016(-0.0035),3.9399(-10.7399),-0.01( -0.99),"[3, 0, 12, 67, 18, 0, 0]",All Stocks
PM,2026-07-09,0 (67),0.18(-0.45),-0.01(-0.09),1.00(-1.98),0.0075(-0.0131),0.0016(-0.0035),3.9399(-10.7399),-0.01( -0.99),"[3, 0, 12, 67, 18, 0, 0]",American stocks
PRIO3,2026-07-09,19 (51),-0.38(-0.01),0.95(-1.05),1.00(-1.10),-0.0055( 0.0049),-0.0163(-0.0012),-0.6160( -1.0840),-0.49( -0.00),"[3, 0, 0, 19, 22, 6, 51]",All Stocks
PSSA3,2026-07-09,0 (76),1.00(-1.10),1.00(-1.10),1.00(-1.10),0.0082(-0.0090),0.0056(-0.0083),0.2602( -6.3602),-0.39( -0.02),"[0, 0, 0, 24, 76, 0, 0]",All Stocks
PSSA3,2026-07-09,0 (76),1.00(-1.10),1.00(-1.10),1.00(-1.10),0.0082(-0.0090),0.0056(-0.0083),0.2602( -6.3602),-0.39( -0.02),"[0, 0, 0, 24, 76, 0, 0]",Consumer Goods
PYPL,2026-07-09,6 (39),0.08(-0.25),0.86(-1.18),1.00(-1.10),0.0020(-0.0021),-0.0004(-0.0012),6.0777( -8.9777),-0.44(  0.13),"[18, 32, 28, 6, 10, 0, 6]",All Stocks
PYPL,2026-07-09,6 (39),0.08(-0.25),0.86(-1.18),1.00(-1.10),0.0020(-0.0021),-0.0004(-0.0012),6.0777( -8.9777),-0.44(  0.13),"[18, 32, 28, 6, 10, 0, 6]",American stocks
