symbol,date,threshold,PPO,SAC,TD3,LST,LS10,LSR,LCl,weights,section
CMIG4,2026-07-03,100 (100),1.00( 0.90),0.93( 0.83),1.00( 0.90),0.0077( 0.0076),0.0195( 0.0001),0.7155( -0.2845),0.35(  0.34),"[0, 0, 0, 0, 100, 0, 0]",STRONG BUY
CMIG4,2026-07-03,100 (100),1.00( 0.90),0.93( 0.83),1.00( 0.90),0.0077( 0.0076),0.0195( 0.0001),0.7155( -0.2845),0.35(  0.34),"[0, 0, 0, 0, 100, 0, 0]",Energy
CMIG4,2026-07-03,100 (100),1.00( 0.90),0.93( 0.83),1.00( 0.90),0.0077( 0.0076),0.0195( 0.0001),0.7155( -0.2845),0.35(  0.34),"[0, 0, 0, 0, 100, 0, 0]",Brazilian Energy
CPFE3,2026-07-03,62 (81),-0.71(-0.81),1.00( 0.90),1.00( 0.29),0.0061( 0.0060),0.0115( 0.0071),3.7738( -1.5262),0.48(  0.03),"[0, 0, 7, 22, 19, 38, 14]",All Stocks
CPFE3,2026-07-03,62 (81),-0.71(-0.81),1.00( 0.90),1.00( 0.29),0.0061( 0.0060),0.0115( 0.0071),3.7738( -1.5262),0.48(  0.03),"[0, 0, 7, 22, 19, 38, 14]",Energy
CPFE3,2026-07-03,62 (81),-0.71(-0.81),1.00( 0.90),1.00( 0.29),0.0061( 0.0060),0.0115( 0.0071),3.7738( -1.5262),0.48(  0.03),"[0, 0, 7, 22, 19, 38, 14]",Brazilian Energy
CPLE3,2026-07-03,100 (78),1.00( 0.32),0.99( 0.89),1.00( 0.90),0.0124( 0.0035),0.0091( 0.0059),4.1763(  2.2763),0.49(  0.01),"[22, 0, 0, 23, 17, 17, 20]",All Stocks
CPLE3,2026-07-03,100 (78),1.00( 0.32),0.99( 0.89),1.00( 0.90),0.0124( 0.0035),0.0091( 0.0059),4.1763(  2.2763),0.49(  0.01),"[22, 0, 0, 23, 17, 17, 20]",Stocks to buy
CPLE3,2026-07-03,100 (78),1.00( 0.32),0.99( 0.89),1.00( 0.90),0.0124( 0.0035),0.0091( 0.0059),4.1763(  2.2763),0.49(  0.01),"[22, 0, 0, 23, 17, 17, 20]",STRONG BUY
CPLE3,2026-07-03,100 (78),1.00( 0.32),0.99( 0.89),1.00( 0.90),0.0124( 0.0035),0.0091( 0.0059),4.1763(  2.2763),0.49(  0.01),"[22, 0, 0, 23, 17, 17, 20]",Energy
CPLE3,2026-07-03,100 (78),1.00( 0.32),0.99( 0.89),1.00( 0.90),0.0124( 0.0035),0.0091( 0.0059),4.1763(  2.2763),0.49(  0.01),"[22, 0, 0, 23, 17, 17, 20]",Brazilian Energy
CPLE5,2025-12-19,62 (64),-0.28(-0.58),1.00( 0.72),-1.00(-2.00),4.5774( 4.5657),6.7254( 6.7210),1.9686( -0.0314),0.65(  0.64),"[37, 14, 1, 18, 31, 0, 0]",All Stocks
CPLE5,2025-12-19,62 (64),-0.28(-0.58),1.00( 0.72),-1.00(-2.00),4.5774( 4.5657),6.7254( 6.7210),1.9686( -0.0314),0.65(  0.64),"[37, 14, 1, 18, 31, 0, 0]",Energy
CPLE5,2025-12-19,62 (64),-0.28(-0.58),1.00( 0.72),-1.00(-2.00),4.5774( 4.5657),6.7254( 6.7210),1.9686( -0.0314),0.65(  0.64),"[37, 14, 1, 18, 31, 0, 0]",Brazilian Energy
CPLE6,2025-11-07,100 (77),-0.74(-0.84),0.68( 0.55),1.00( 0.90),0.0052( 0.0019),0.0046( 0.0030),4.5407(  3.1407),0.51(  0.50),"[0, 11, 0, 39, 13, 37, 0]",All Stocks
