symbol,date,threshold,PPO,SAC,TD3,LST,LS10,LSR,LCl,weights,section
AXP,2026-07-02,77 (73),0.01(-0.09),-0.98(-1.08),1.00( 0.00),0.0046( 0.0009),0.0092( 0.0091),1.0256(  0.0256),0.31(  0.06),"[23, 0, 1, 0, 2, 3, 70]",All Stocks
AXP,2026-07-02,77 (73),0.01(-0.09),-0.98(-1.08),1.00( 0.00),0.0046( 0.0009),0.0092( 0.0091),1.0256(  0.0256),0.31(  0.06),"[23, 0, 1, 0, 2, 3, 70]",Stocks to buy
AXP,2026-07-02,77 (73),0.01(-0.09),-0.98(-1.08),1.00( 0.00),0.0046( 0.0009),0.0092( 0.0091),1.0256(  0.0256),0.31(  0.06),"[23, 0, 1, 0, 2, 3, 70]",STRONG BUY
AXP,2026-07-02,77 (73),0.01(-0.09),-0.98(-1.08),1.00( 0.00),0.0046( 0.0009),0.0092( 0.0091),1.0256(  0.0256),0.31(  0.06),"[23, 0, 1, 0, 2, 3, 70]",American stocks
AXP,2026-07-02,77 (73),0.01(-0.09),-0.98(-1.08),1.00( 0.00),0.0046( 0.0009),0.0092( 0.0091),1.0256(  0.0256),0.31(  0.06),"[23, 0, 1, 0, 2, 3, 70]",Finance
B3SA3,2026-07-03,96 (96),-0.08(-0.18),1.00( 0.90),1.00( 0.90),-0.0057(-0.0060),0.0007(-0.0033),3.5118(  1.2118),0.38(  0.37),"[0, 0, 0, 3, 2, 96, 0]",All Stocks
B3SA3,2026-07-03,96 (96),-0.08(-0.18),1.00( 0.90),1.00( 0.90),-0.0057(-0.0060),0.0007(-0.0033),3.5118(  1.2118),0.38(  0.37),"[0, 0, 0, 3, 2, 96, 0]",Stocks to buy
B3SA3,2026-07-03,96 (96),-0.08(-0.18),1.00( 0.90),1.00( 0.90),-0.0057(-0.0060),0.0007(-0.0033),3.5118(  1.2118),0.38(  0.37),"[0, 0, 0, 3, 2, 96, 0]",STRONG BUY
B3SA3,2026-07-03,96 (96),-0.08(-0.18),1.00( 0.90),1.00( 0.90),-0.0057(-0.0060),0.0007(-0.0033),3.5118(  1.2118),0.38(  0.37),"[0, 0, 0, 3, 2, 96, 0]",Finance
B3SA3,2026-07-03,96 (96),-0.08(-0.18),1.00( 0.90),1.00( 0.90),-0.0057(-0.0060),0.0007(-0.0033),3.5118(  1.2118),0.38(  0.37),"[0, 0, 0, 3, 2, 96, 0]",Brazilian Finance
BAC,2026-07-02,23 (41),-0.07(-0.17),0.66( 0.53),1.00( 0.00),-0.0003(-0.0017),0.0027(-0.0026),2.5654(  1.4654),0.40( -0.01),"[0, 21, 1, 37, 16, 2, 24]",All Stocks
BAC,2026-07-02,23 (41),-0.07(-0.17),0.66( 0.53),1.00( 0.00),-0.0003(-0.0017),0.0027(-0.0026),2.5654(  1.4654),0.40( -0.01),"[0, 21, 1, 37, 16, 2, 24]",Finance
BBAS3,2026-07-03,28 (88),0.41( 0.07),0.93(-0.01),-0.67(-0.77),0.0021(-0.0093),0.0146( 0.0128),2.1944( -6.8056),0.41( -0.01),"[15, 14, 45, 0, 13, 0, 13]",All Stocks
BBAS3,2026-07-03,28 (88),0.41( 0.07),0.93(-0.01),-0.67(-0.77),0.0021(-0.0093),0.0146( 0.0128),2.1944( -6.8056),0.41( -0.01),"[15, 14, 45, 0, 13, 0, 13]",Finance
BBAS3,2026-07-03,28 (88),0.41( 0.07),0.93(-0.01),-0.67(-0.77),0.0021(-0.0093),0.0146( 0.0128),2.1944( -6.8056),0.41( -0.01),"[15, 14, 45, 0, 13, 0, 13]",Brazilian Finance
BBD,2026-07-02,51 (25),0.27(-0.06),0.96(-0.01),1.00( 0.90),0.0047( 0.0023),-0.0029(-0.0035),1.9400(  0.5400),0.42(  0.14),"[23, 25, 0, 25, 2, 13, 13]",All Stocks
BBD,2026-07-02,51 (25),0.27(-0.06),0.96(-0.01),1.00( 0.90),0.0047( 0.0023),-0.0029(-0.0035),1.9400(  0.5400),0.42(  0.14),"[23, 25, 0, 25, 2, 13, 13]",Stocks to buy
BBD,2026-07-02,51 (25),0.27(-0.06),0.96(-0.01),1.00( 0.90),0.0047( 0.0023),-0.0029(-0.0035),1.9400(  0.5400),0.42(  0.14),"[23, 25, 0, 25, 2, 13, 13]",ADRs
BBD,2026-07-02,51 (25),0.27(-0.06),0.96(-0.01),1.00( 0.90),0.0047( 0.0023),-0.0029(-0.0035),1.9400(  0.5400),0.42(  0.14),"[23, 25, 0, 25, 2, 13, 13]",Finance
BBD,2026-07-02,51 (25),0.27(-0.06),0.96(-0.01),1.00( 0.90),0.0047( 0.0023),-0.0029(-0.0035),1.9400(  0.5400),0.42(  0.14),"[23, 25, 0, 25, 2, 13, 13]",Brazilian Finance
BBDC3,2026-07-03,0 (10),-0.93(-1.03),-0.83(-0.93),-0.99(-1.09),-0.0019(-0.0020),-0.0060(-0.0061),0.6593( -0.3407),0.48(  0.47),"[0, 0, 0, 0, 0, 0, 0]",All Stocks
BBDC3,2026-07-03,0 (10),-0.93(-1.03),-0.83(-0.93),-0.99(-1.09),-0.0019(-0.0020),-0.0060(-0.0061),0.6593( -0.3407),0.48(  0.47),"[0, 0, 0, 0, 0, 0, 0]",Finance
BBDC3,2026-07-03,0 (10),-0.93(-1.03),-0.83(-0.93),-0.99(-1.09),-0.0019(-0.0020),-0.0060(-0.0061),0.6593( -0.3407),0.48(  0.47),"[0, 0, 0, 0, 0, 0, 0]",Brazilian Finance
BBDC4,2026-07-03,69 (60),-0.35(-0.48),-0.76(-1.63),-1.00(-1.99),0.0019( 0.0012),0.0024( 0.0012),6.5503(  1.5503),0.62(  0.30),"[3, 19, 10, 2, 31, 2, 34]",All Stocks
BBDC4,2026-07-03,69 (60),-0.35(-0.48),-0.76(-1.63),-1.00(-1.99),0.0019( 0.0012),0.0024( 0.0012),6.5503(  1.5503),0.62(  0.30),"[3, 19, 10, 2, 31, 2, 34]",Stocks to buy
